[http-bio-8888-exec-4] DEBUG com.finalproject.web.filter.LocalizationFilter  - Set locale to session
[http-bio-8888-exec-4] DEBUG com.finalproject.web.filter.LocalizationFilter  - Set locale to session
[http-bio-8888-exec-4] DEBUG com.finalproject.web.filter.LocalizationFilter  - Set bundle to session
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/
[http-bio-8888-exec-4] INFO  com.finalproject.web.filter.StaticResourceFilter  - Non static resource: /. New Path: /app/
[http-bio-8888-exec-4] INFO  com.finalproject.web.servlets.DispatcherServlet  - Path: /
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /style.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /style.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/css/style.css
[http-bio-8888-exec-2] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /slider.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/css/style.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /style.css
[http-bio-8888-exec-1] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /style.css
[http-bio-8888-exec-2] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /slider.css
[http-bio-8888-exec-2] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/css/slider.css
[http-bio-8888-exec-2] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/css/slider.css
[http-bio-8888-exec-2] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /slider.css
[http-bio-8888-exec-2] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /slider.css
[http-bio-8888-exec-5] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /jquery.nivo.slider.js
[http-bio-8888-exec-5] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /jquery.nivo.slider.js
[http-bio-8888-exec-5] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/js/jquery.nivo.slider.js
[http-bio-8888-exec-5] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/js/jquery.nivo.slider.js
[http-bio-8888-exec-5] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /jquery.nivo.slider.js
[http-bio-8888-exec-5] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /jquery.nivo.slider.js
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /jquery-1.9.0.min.js
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /jquery-1.9.0.min.js
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/js/jquery-1.9.0.min.js
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/js/jquery-1.9.0.min.js
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /jquery-1.9.0.min.js
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /jquery-1.9.0.min.js
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /rus2.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /rus2.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/rus2.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/rus2.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /rus2.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /rus2.png
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner1.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner1.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/banner1.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/banner1.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner1.jpg
[http-bio-8888-exec-10] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-10] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-10] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/js/log.js
[http-bio-8888-exec-10] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/js/log.js
[http-bio-8888-exec-10] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /log.js
[http-bio-8888-exec-10] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /log.js
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner1.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /usa.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /usa.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/usa.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/usa.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /usa.png
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /usa.png
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner4.jpg
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner4.jpg
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/banner4.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/banner2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/banner2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner2.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner2.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner5.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner5.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/banner5.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/banner5.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner5.jpg
[http-bio-8888-exec-7] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner5.jpg
[http-bio-8888-exec-3] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner3.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /pic1.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /pic1.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/pic1.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/pic1.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /pic1.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /pic1.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /pic.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /pic.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.StaticResourceFilter  - Do service, URI: /bank-system/ui/images/pic.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/pic.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /pic.jpg
[http-bio-8888-exec-9] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /pic.jpg
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.StaticResourceFilter  - Static resource: /ui/images/banner4.jpg
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /banner4.jpg
[http-bio-8888-exec-6] INFO  com.finalproject.web.filter.AuthenticationFilter  - Page is not secured: /banner4.jpg
[http-bio-8888-exec-8] INFO  com.finalproject.web.filter.AuthenticationFilter  - Path: /chart.png
